Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Send File,,,,25-08-2024 13:34:55,25-08-2024 13:35:05,9.729s,FAILED
,,,,,,,
Test Cases/TC_Send File,,,,25-08-2024 13:34:55,25-08-2024 13:34:58,2.332s,PASSED
projectPath = getProjectDir(),,,,25-08-2024 13:34:56,25-08-2024 13:34:56,0.003s,PASSED
"filePath = projectPath + ""\"" + file",,,,25-08-2024 13:34:56,25-08-2024 13:34:56,0.005s,PASSED
"authorizationHeader = new com.kms.katalon.core.testobject.TestObjectProperty(Authorization, com.kms.katalon.core.testobject.ConditionType.EQUALS, (Bearer  + internal.GlobalVariable.token))",,,,25-08-2024 13:34:56,25-08-2024 13:34:56,0.119s,PASSED
newId = generateUUIDv4(),,,,25-08-2024 13:34:56,25-08-2024 13:34:56,0.002s,PASSED
return java.util.UUID.randomUUID().toString(),,,,25-08-2024 13:34:56,25-08-2024 13:34:56,0.092s,PASSED
print(newId),,,,25-08-2024 13:34:56,25-08-2024 13:34:56,0.005s,PASSED
"req = findTestObject(""API_Send File"", [""senderId"":myId, ""groupId"":groupId, ""file"":filePath, ""id"":newId])",,,,25-08-2024 13:34:56,25-08-2024 13:34:56,0.094s,PASSED
getHttpHeaderProperties().removeIf({ -> ... }),,,,25-08-2024 13:34:56,25-08-2024 13:34:56,0.046s,PASSED
getHttpHeaderProperties().add(authorizationHeader),,,,25-08-2024 13:34:56,25-08-2024 13:34:56,0.002s,PASSED
"groupId = getVariables().get(""groupId"")",,,,25-08-2024 13:34:56,25-08-2024 13:34:56,0.004s,PASSED
"println(""The groupId in the request body is: "" + groupId)",,,,25-08-2024 13:34:56,25-08-2024 13:34:56,0.003s,PASSED
res = sendRequest(req),,,,25-08-2024 13:34:56,25-08-2024 13:34:58,1.438s,PASSED
"verifyResponseStatusCode(res, expected.intValue(), CONTINUE_ON_FAILURE)",,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.035s,PASSED
responseText = res.getResponseText(),,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.011s,PASSED
if (responseText != null && !(trim().isEmpty())),,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.033s,PASSED
,,,,,,,
Test Cases/TC_Send File,,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.135s,PASSED
projectPath = getProjectDir(),,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.002s,PASSED
"filePath = projectPath + ""\"" + file",,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.002s,PASSED
"authorizationHeader = new com.kms.katalon.core.testobject.TestObjectProperty(Authorization, com.kms.katalon.core.testobject.ConditionType.EQUALS, (Bearer  + internal.GlobalVariable.token))",,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.001s,PASSED
newId = generateUUIDv4(),,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.001s,PASSED
return java.util.UUID.randomUUID().toString(),,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.001s,PASSED
print(newId),,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.001s,PASSED
"req = findTestObject(""API_Send File"", [""senderId"":myId, ""groupId"":groupId, ""file"":filePath, ""id"":newId])",,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.009s,PASSED
getHttpHeaderProperties().removeIf({ -> ... }),,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.001s,PASSED
getHttpHeaderProperties().add(authorizationHeader),,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.000s,PASSED
"groupId = getVariables().get(""groupId"")",,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.001s,PASSED
"println(""The groupId in the request body is: "" + groupId)",,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.001s,PASSED
res = sendRequest(req),,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.077s,PASSED
"verifyResponseStatusCode(res, expected.intValue(), CONTINUE_ON_FAILURE)",,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.004s,PASSED
responseText = res.getResponseText(),,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.001s,PASSED
if (responseText != null && !(trim().isEmpty())),,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.002s,PASSED
,,,,,,,
Test Cases/TC_Send File,,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.146s,PASSED
projectPath = getProjectDir(),,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.001s,PASSED
"filePath = projectPath + ""\"" + file",,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.001s,PASSED
"authorizationHeader = new com.kms.katalon.core.testobject.TestObjectProperty(Authorization, com.kms.katalon.core.testobject.ConditionType.EQUALS, (Bearer  + internal.GlobalVariable.token))",,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.001s,PASSED
newId = generateUUIDv4(),,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.001s,PASSED
return java.util.UUID.randomUUID().toString(),,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.000s,PASSED
print(newId),,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.000s,PASSED
"req = findTestObject(""API_Send File"", [""senderId"":myId, ""groupId"":groupId, ""file"":filePath, ""id"":newId])",,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.031s,PASSED
getHttpHeaderProperties().removeIf({ -> ... }),,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.001s,PASSED
getHttpHeaderProperties().add(authorizationHeader),,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.000s,PASSED
"groupId = getVariables().get(""groupId"")",,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.000s,PASSED
"println(""The groupId in the request body is: "" + groupId)",,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.001s,PASSED
res = sendRequest(req),,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.063s,PASSED
"verifyResponseStatusCode(res, expected.intValue(), CONTINUE_ON_FAILURE)",,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.002s,PASSED
responseText = res.getResponseText(),,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.001s,PASSED
if (responseText != null && !(trim().isEmpty())),,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.002s,PASSED
,,,,,,,
Test Cases/TC_Send File,,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.101s,PASSED
projectPath = getProjectDir(),,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.000s,PASSED
"filePath = projectPath + ""\"" + file",,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.000s,PASSED
"authorizationHeader = new com.kms.katalon.core.testobject.TestObjectProperty(Authorization, com.kms.katalon.core.testobject.ConditionType.EQUALS, (Bearer  + internal.GlobalVariable.token))",,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.001s,PASSED
newId = generateUUIDv4(),,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.000s,PASSED
return java.util.UUID.randomUUID().toString(),,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.000s,PASSED
print(newId),,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.000s,PASSED
"req = findTestObject(""API_Send File"", [""senderId"":myId, ""groupId"":groupId, ""file"":filePath, ""id"":newId])",,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.017s,PASSED
getHttpHeaderProperties().removeIf({ -> ... }),,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.001s,PASSED
getHttpHeaderProperties().add(authorizationHeader),,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.001s,PASSED
"groupId = getVariables().get(""groupId"")",,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.000s,PASSED
"println(""The groupId in the request body is: "" + groupId)",,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.000s,PASSED
res = sendRequest(req),,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.052s,PASSED
"verifyResponseStatusCode(res, expected.intValue(), CONTINUE_ON_FAILURE)",,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.003s,PASSED
responseText = res.getResponseText(),,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.000s,PASSED
if (responseText != null && !(trim().isEmpty())),,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.002s,PASSED
,,,,,,,
Test Cases/TC_Send File,,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.220s,PASSED
projectPath = getProjectDir(),,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.001s,PASSED
"filePath = projectPath + ""\"" + file",,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.000s,PASSED
"authorizationHeader = new com.kms.katalon.core.testobject.TestObjectProperty(Authorization, com.kms.katalon.core.testobject.ConditionType.EQUALS, (Bearer  + internal.GlobalVariable.token))",,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.000s,PASSED
newId = generateUUIDv4(),,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.001s,PASSED
return java.util.UUID.randomUUID().toString(),,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.001s,PASSED
print(newId),,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.001s,PASSED
"req = findTestObject(""API_Send File"", [""senderId"":myId, ""groupId"":groupId, ""file"":filePath, ""id"":newId])",,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.007s,PASSED
getHttpHeaderProperties().removeIf({ -> ... }),,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.001s,PASSED
getHttpHeaderProperties().add(authorizationHeader),,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.001s,PASSED
"groupId = getVariables().get(""groupId"")",,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.000s,PASSED
"println(""The groupId in the request body is: "" + groupId)",,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.000s,PASSED
res = sendRequest(req),,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.178s,PASSED
"verifyResponseStatusCode(res, expected.intValue(), CONTINUE_ON_FAILURE)",,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.003s,PASSED
responseText = res.getResponseText(),,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.000s,PASSED
if (responseText != null && !(trim().isEmpty())),,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.001s,PASSED
,,,,,,,
Test Cases/TC_Send File,,,,25-08-2024 13:34:58,25-08-2024 13:34:59,0.194s,PASSED
projectPath = getProjectDir(),,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.001s,PASSED
"filePath = projectPath + ""\"" + file",,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.000s,PASSED
"authorizationHeader = new com.kms.katalon.core.testobject.TestObjectProperty(Authorization, com.kms.katalon.core.testobject.ConditionType.EQUALS, (Bearer  + internal.GlobalVariable.token))",,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.001s,PASSED
newId = generateUUIDv4(),,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.000s,PASSED
return java.util.UUID.randomUUID().toString(),,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.000s,PASSED
print(newId),,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.001s,PASSED
"req = findTestObject(""API_Send File"", [""senderId"":myId, ""groupId"":groupId, ""file"":filePath, ""id"":newId])",,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.005s,PASSED
getHttpHeaderProperties().removeIf({ -> ... }),,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.000s,PASSED
getHttpHeaderProperties().add(authorizationHeader),,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.000s,PASSED
"groupId = getVariables().get(""groupId"")",,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.000s,PASSED
"println(""The groupId in the request body is: "" + groupId)",,,,25-08-2024 13:34:58,25-08-2024 13:34:58,0.001s,PASSED
res = sendRequest(req),,,,25-08-2024 13:34:58,25-08-2024 13:34:59,0.159s,PASSED
"verifyResponseStatusCode(res, expected.intValue(), CONTINUE_ON_FAILURE)",,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.002s,PASSED
responseText = res.getResponseText(),,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.000s,PASSED
if (responseText != null && !(trim().isEmpty())),,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.002s,PASSED
,,,,,,,
Test Cases/TC_Send File,,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.128s,PASSED
projectPath = getProjectDir(),,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.000s,PASSED
"filePath = projectPath + ""\"" + file",,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.000s,PASSED
"authorizationHeader = new com.kms.katalon.core.testobject.TestObjectProperty(Authorization, com.kms.katalon.core.testobject.ConditionType.EQUALS, (Bearer  + internal.GlobalVariable.token))",,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.000s,PASSED
newId = generateUUIDv4(),,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.000s,PASSED
return java.util.UUID.randomUUID().toString(),,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.001s,PASSED
print(newId),,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.000s,PASSED
"req = findTestObject(""API_Send File"", [""senderId"":myId, ""groupId"":groupId, ""file"":filePath, ""id"":newId])",,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.034s,PASSED
getHttpHeaderProperties().removeIf({ -> ... }),,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.001s,PASSED
getHttpHeaderProperties().add(authorizationHeader),,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.000s,PASSED
"groupId = getVariables().get(""groupId"")",,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.000s,PASSED
"println(""The groupId in the request body is: "" + groupId)",,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.000s,PASSED
res = sendRequest(req),,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.068s,PASSED
"verifyResponseStatusCode(res, expected.intValue(), CONTINUE_ON_FAILURE)",,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.003s,PASSED
responseText = res.getResponseText(),,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.001s,PASSED
if (responseText != null && !(trim().isEmpty())),,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.002s,PASSED
,,,,,,,
Test Cases/TC_Send File,,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.117s,FAILED
projectPath = getProjectDir(),,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.000s,PASSED
"filePath = projectPath + ""\"" + file",,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.001s,PASSED
"authorizationHeader = new com.kms.katalon.core.testobject.TestObjectProperty(Authorization, com.kms.katalon.core.testobject.ConditionType.EQUALS, (Bearer  + internal.GlobalVariable.token))",,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.000s,PASSED
newId = generateUUIDv4(),,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.000s,PASSED
return java.util.UUID.randomUUID().toString(),,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.000s,PASSED
print(newId),,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.000s,PASSED
"req = findTestObject(""API_Send File"", [""senderId"":myId, ""groupId"":groupId, ""file"":filePath, ""id"":newId])",,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.014s,PASSED
getHttpHeaderProperties().removeIf({ -> ... }),,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.002s,PASSED
getHttpHeaderProperties().add(authorizationHeader),,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.001s,PASSED
"groupId = getVariables().get(""groupId"")",,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.000s,PASSED
"println(""The groupId in the request body is: "" + groupId)",,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.000s,PASSED
res = sendRequest(req),,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.060s,PASSED
"verifyResponseStatusCode(res, expected.intValue(), CONTINUE_ON_FAILURE)",,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.007s,FAILED
responseText = res.getResponseText(),,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.000s,PASSED
if (responseText != null && !(trim().isEmpty())),,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.002s,PASSED
,,,,,,,
Test Cases/TC_Send File,,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.083s,PASSED
projectPath = getProjectDir(),,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.001s,PASSED
"filePath = projectPath + ""\"" + file",,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.000s,PASSED
"authorizationHeader = new com.kms.katalon.core.testobject.TestObjectProperty(Authorization, com.kms.katalon.core.testobject.ConditionType.EQUALS, (Bearer  + internal.GlobalVariable.token))",,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.001s,PASSED
newId = generateUUIDv4(),,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.000s,PASSED
return java.util.UUID.randomUUID().toString(),,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.000s,PASSED
print(newId),,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.001s,PASSED
"req = findTestObject(""API_Send File"", [""senderId"":myId, ""groupId"":groupId, ""file"":filePath, ""id"":newId])",,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.012s,PASSED
getHttpHeaderProperties().removeIf({ -> ... }),,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.000s,PASSED
getHttpHeaderProperties().add(authorizationHeader),,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.001s,PASSED
"groupId = getVariables().get(""groupId"")",,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.000s,PASSED
"println(""The groupId in the request body is: "" + groupId)",,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.000s,PASSED
res = sendRequest(req),,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.049s,PASSED
"verifyResponseStatusCode(res, expected.intValue(), CONTINUE_ON_FAILURE)",,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.002s,PASSED
responseText = res.getResponseText(),,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.000s,PASSED
if (responseText != null && !(trim().isEmpty())),,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.001s,PASSED
,,,,,,,
Test Cases/TC_Send File,,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.177s,PASSED
projectPath = getProjectDir(),,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.000s,PASSED
"filePath = projectPath + ""\"" + file",,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.000s,PASSED
"authorizationHeader = new com.kms.katalon.core.testobject.TestObjectProperty(Authorization, com.kms.katalon.core.testobject.ConditionType.EQUALS, (Bearer  + internal.GlobalVariable.token))",,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.000s,PASSED
newId = generateUUIDv4(),,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.001s,PASSED
return java.util.UUID.randomUUID().toString(),,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.000s,PASSED
print(newId),,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.000s,PASSED
"req = findTestObject(""API_Send File"", [""senderId"":myId, ""groupId"":groupId, ""file"":filePath, ""id"":newId])",,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.014s,PASSED
getHttpHeaderProperties().removeIf({ -> ... }),,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.000s,PASSED
getHttpHeaderProperties().add(authorizationHeader),,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.001s,PASSED
"groupId = getVariables().get(""groupId"")",,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.000s,PASSED
"println(""The groupId in the request body is: "" + groupId)",,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.000s,PASSED
res = sendRequest(req),,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.141s,PASSED
"verifyResponseStatusCode(res, expected.intValue(), CONTINUE_ON_FAILURE)",,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.001s,PASSED
responseText = res.getResponseText(),,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.000s,PASSED
if (responseText != null && !(trim().isEmpty())),,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.001s,PASSED
,,,,,,,
Test Cases/TC_Send File,,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.113s,FAILED
projectPath = getProjectDir(),,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.001s,PASSED
"filePath = projectPath + ""\"" + file",,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.000s,PASSED
"authorizationHeader = new com.kms.katalon.core.testobject.TestObjectProperty(Authorization, com.kms.katalon.core.testobject.ConditionType.EQUALS, (Bearer  + internal.GlobalVariable.token))",,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.000s,PASSED
newId = generateUUIDv4(),,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.000s,PASSED
return java.util.UUID.randomUUID().toString(),,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.000s,PASSED
print(newId),,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.001s,PASSED
"req = findTestObject(""API_Send File"", [""senderId"":myId, ""groupId"":groupId, ""file"":filePath, ""id"":newId])",,,,25-08-2024 13:34:59,25-08-2024 13:34:59,0.015s,PASSED
